ID;Age;Experience;Income;PostCode;Family;CBAvg;Education;CustomerCode;Mortgage;SecuritiesAcc;DepositAcc;OnlineBanking;CreditCard;dateReq;LoanAmount;PersonalLoan
1;25;1;49;21107;4;1.60;1;320763;0;1;0;0;0;12/10/2022;10;0
2;45;19;34;20082;3;1.50;1;320328;0;1;0;0;0;12/10/2022;25;0
3;39;15;11;24720;1;1.00;1;323960;0;0;0;0;0;12/10/2022;20;0
4;35;9;100;24112;1;2.70;2;323014;0;0;0;0;0;12/10/2022;20;0
6;37;13;29;22121;4;0.40;2;321599;155;0;0;1;0;12/10/2022;10;0
7;53;27;72;21711;2;1.50;2;321132;0;0;0;1;0;12/10/2022;25;0
9;35;10;81;20082;3;0.60;2;320329;104;0;0;1;0;12/10/2022;20;0
10;34;9;180;23023;1;8.90;3;322288;0;0;0;0;0;12/10/2022;15;1
11;65;39;105;24710;4;2.40;3;323951;0;0;0;0;0;12/10/2022;10;0
12;29;5;45;20277;3;0.10;2;320520;0;0;0;1;0;12/10/2022;25;0
13;48;23;114;23106;2;3.80;3;322341;0;1;0;0;0;12/10/2022;25;0
14;59;32;40;24220;4;2.50;2;323184;0;0;0;1;0;12/10/2022;10;0
15;67;41;112;21741;1;2.00;1;321194;0;1;0;0;0;12/10/2022;25;0
17;38;14;130;25010;4;4.70;3;324170;134;0;0;0;0;12/10/2022;20;1
18;42;18;81;24305;4;2.40;1;323374;0;0;0;0;0;12/10/2022;20;0
19;46;21;193;21604;2;8.10;3;321088;0;0;0;0;0;12/10/2022;20;1
21;56;31;25;24015;4;0.90;2;322712;111;0;0;1;0;12/10/2022;10;0
22;57;27;63;20025;3;2.00;3;320090;0;0;0;1;0;12/10/2022;25;0
23;29;5;62;20277;1;1.20;1;320521;260;0;0;1;0;12/10/2022;25;0
24;44;18;43;21320;2;0.70;1;320895;163;1;0;0;0;12/10/2022;25;0
26;43;19;29;24305;3;0.50;1;323375;97;0;0;1;0;12/10/2022;15;0
27;40;16;83;25064;4;0.20;3;324382;0;0;0;0;0;12/10/2022;25;0
31;59;35;35;23106;1;1.20;3;322342;122;0;0;1;0;12/10/2022;25;0
32;40;16;29;24117;1;2.00;2;323049;0;0;0;1;0;12/10/2022;15;0
33;53;28;41;24801;2;0.60;3;324129;193;0;0;0;0;12/10/2022;20;0
34;30;6;18;21330;3;0.90;3;320951;0;0;0;0;0;12/10/2022;15;0
35;31;5;50;24035;4;1.80;3;322811;0;0;0;1;0;12/10/2022;20;0
36;48;24;81;22647;3;0.70;1;322040;0;0;0;0;0;12/10/2022;10;0
38;51;25;71;25814;1;1.40;3;324852;198;0;0;0;0;12/10/2022;20;0
39;42;18;141;24114;3;5.00;3;323025;0;1;1;1;0;12/10/2022;15;1
40;38;13;80;24115;4;0.70;3;323032;285;0;0;1;0;12/10/2022;10;0
41;57;32;84;22672;3;1.60;3;322081;0;1;0;0;0;12/10/2022;25;0
42;34;9;60;24122;3;2.30;1;323073;0;0;0;0;0;12/10/2022;20;0
43;32;7;132;20012;4;1.10;2;320024;412;0;0;1;0;12/10/2022;20;1
44;39;15;45;25616;1;0.70;1;324627;0;0;0;1;0;12/10/2022;25;0
47;39;14;43;25014;3;0.70;2;324174;153;0;0;1;0;13/10/2022;25;0
51;32;8;8;22023;4;0.70;2;321317;0;1;0;1;0;13/10/2022;15;0
52;61;37;131;24720;1;2.90;1;323964;0;0;0;1;0;13/10/2022;20;0
53;30;6;72;24005;1;0.10;1;322681;207;0;0;0;0;13/10/2022;25;0
54;50;26;190;20245;3;2.10;3;320425;240;0;0;1;0;13/10/2022;20;1
55;29;5;44;25812;1;0.20;3;324820;0;0;0;1;0;13/10/2022;25;0
56;41;17;139;24022;2;8.00;1;322719;0;0;0;1;0;13/10/2022;10;0
57;55;30;29;24005;3;0.10;2;322682;0;1;1;1;0;13/10/2022;15;0
58;56;31;131;25616;2;1.20;3;324628;0;0;0;0;0;13/10/2022;15;1
59;28;2;93;24065;2;0.20;1;322861;0;0;0;0;0;13/10/2022;25;0
60;31;5;188;21320;2;4.50;1;320896;455;0;0;0;0;13/10/2022;15;0
61;49;24;39;20404;3;1.70;2;320560;0;1;0;1;0;13/10/2022;10;0
62;47;21;125;23407;1;5.70;1;322576;112;1;0;0;0;13/10/2022;25;0
63;42;18;22;20082;1;1.00;1;320330;0;0;0;0;0;13/10/2022;25;0
64;42;17;32;24523;4;0.00;2;323583;0;0;0;1;0;13/10/2022;25;0
65;47;23;105;20024;2;3.30;1;320040;0;0;0;0;0;13/10/2022;25;0
67;62;36;105;25670;2;2.80;1;324764;336;0;0;0;0;13/10/2022;25;0
68;53;23;45;25123;4;2.00;3;324432;132;1;0;0;0;13/10/2022;25;0
70;53;29;20;20045;4;0.20;1;320267;0;0;0;1;0;13/10/2022;20;0
72;53;29;69;23207;4;1.00;2;322449;0;0;0;1;0;13/10/2022;15;0
77;58;32;12;21320;3;0.30;3;320897;0;0;0;0;0;13/10/2022;25;0
78;46;20;29;22220;3;0.50;2;321797;0;0;0;0;0;13/10/2022;10;0
79;54;30;133;23305;2;2.60;3;322556;0;0;0;0;0;13/10/2022;15;1
80;50;26;19;24720;2;0.40;1;323965;118;0;0;1;0;13/10/2022;15;0
82;47;22;40;24612;3;2.70;2;323870;0;0;0;1;0;13/10/2022;10;0
83;41;16;82;22507;1;4.00;3;321884;0;0;0;1;0;13/10/2022;25;0
84;33;9;50;24305;1;2.40;2;323376;0;0;0;0;0;13/10/2022;20;0
85;46;22;18;21730;1;0.90;3;321188;0;0;0;1;0;13/10/2022;15;0
86;27;2;109;24005;4;1.80;3;322683;0;0;0;0;0;13/10/2022;10;0
87;40;16;42;24501;4;2.20;2;323525;126;0;0;0;0;13/10/2022;25;0
88;48;22;78;24305;3;1.10;1;323377;0;0;0;1;0;13/10/2022;10;0
89;65;41;51;24117;2;1.10;1;323050;0;0;0;1;0;13/10/2022;20;0
91;55;30;118;20277;4;5.60;2;320522;0;0;0;1;0;13/10/2022;20;1
92;35;10;29;24105;4;1.10;3;322945;0;0;0;1;0;13/10/2022;15;0
93;43;19;34;24305;3;0.60;2;323378;0;0;0;0;0;13/10/2022;25;0
94;60;34;64;24550;2;1.70;3;323696;236;1;0;1;0;13/10/2022;25;0
95;65;39;121;22612;1;2.00;1;321940;0;0;0;0;0;13/10/2022;20;0
96;38;12;48;25617;4;0.20;3;324743;0;0;0;1;0;13/10/2022;10;0
